N_1._tr|B4IC01|B4IC01_DROSE	GO:0003723	GO:0003723
N_47._tr|B4HLR1|B4HLR1_DROSE	GO:0008237	GO:0008270
N_48._tr|B4HH34|B4HH34_DROSE	
N_49._tr|B4HI58|B4HI58_DROSE	GO:0008417	GO:0006486	GO:0016020
N_50._tr|B4IBS5|B4IBS5_DROSE	
N_51._tr|B4HNU1|B4HNU1_DROSE	
N_52._tr|B4HNL6|B4HNL6_DROSE	
N_53._tr|B4HI31|B4HI31_DROSE	
N_54._tr|B4I688|B4I688_DROSE	
N_55._tr|B4HPQ5|B4HPQ5_DROSE	GO:0003723
N_56._sp|B4HY41|EFGM_DROSE	GO:0005525	GO:0003924	GO:0005525	GO:0005525
N_57._tr|B4IC11|B4IC11_DROSE	GO:0016021
N_58._tr|B4IA68|B4IA68_DROSE	GO:0005509	GO:0016787	GO:0005509	GO:0005515	GO:0005509	GO:0005509	GO:0005509
N_59._sp|B4HNW4|PTK7_DROSE	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_60._tr|B4IJJ5|B4IJJ5_DROSE	
N_61._tr|B4I324|B4I324_DROSE	GO:0004867
N_62._tr|B4HXH6|B4HXH6_DROSE	
N_63._tr|B4IBX4|B4IBX4_DROSE	GO:0008270	GO:0005634
N_64._tr|B4IJZ4|B4IJZ4_DROSE	
N_65._tr|B4HU74|B4HU74_DROSE	
N_66._tr|B4IGF6|B4IGF6_DROSE	GO:0004674	GO:0005524	GO:0006468	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_67._tr|B4I5F2|B4I5F2_DROSE	GO:0016747
N_68._tr|B4IFF8|B4IFF8_DROSE	GO:0003677
N_69._tr|B4IC51|B4IC51_DROSE	GO:0004252	GO:0006508
N_70._tr|B4HPN1|B4HPN1_DROSE	
N_71._tr|B4HLM3|B4HLM3_DROSE	GO:0005515	GO:0005198	GO:0006886	GO:0016192	GO:0030117	GO:0002098	GO:0033588
N_72._tr|B4HX29|B4HX29_DROSE	GO:0005245	GO:0070588	GO:0005891
N_73._tr|B4I577|B4I577_DROSE	
N_74._tr|B4HQF3|B4HQF3_DROSE	GO:0016021
N_75._tr|B4I6J7|B4I6J7_DROSE	
N_76._tr|B4HU08|B4HU08_DROSE	GO:0045892	GO:0005634
N_77._tr|B4HFU5|B4HFU5_DROSE	GO:0002098	GO:0033588
N_78._tr|B4I9F5|B4I9F5_DROSE	
N_79._tr|B4INA7|B4INA7_DROSE	
N_80._tr|B4I3V0|B4I3V0_DROSE	
N_81._tr|B4I1J1|B4I1J1_DROSE	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_82._tr|B4I3C6|B4I3C6_DROSE	
N_83._tr|B4HYU7|B4HYU7_DROSE	
N_84._tr|B4HKZ1|B4HKZ1_DROSE	
N_85._tr|B4ILR8|B4ILR8_DROSE	GO:0003824
N_86._tr|B4HYR3|B4HYR3_DROSE	GO:0006355
N_87._tr|B4HZ06|B4HZ06_DROSE	GO:0003676	GO:0016787	GO:0046872
N_88._tr|B4HNX3|B4HNX3_DROSE	GO:0006915
N_89._tr|B4HWP7|B4HWP7_DROSE	GO:0017025
N_90._tr|B4HU91|B4HU91_DROSE	
N_91._tr|B4I716|B4I716_DROSE	
N_92._tr|B4HRU8|B4HRU8_DROSE	GO:0004252	GO:0006508
N_93._tr|B4HIC4|B4HIC4_DROSE	
N_94._tr|B4I4M9|B4I4M9_DROSE	
N_95._tr|B4HMH8|B4HMH8_DROSE	GO:0005515	GO:0006749
N_96._tr|B4IG74|B4IG74_DROSE	GO:0003723
N_97._tr|B4IEQ4|B4IEQ4_DROSE	
N_98._tr|B4IL84|B4IL84_DROSE	GO:0005509
N_99._tr|B4I2B5|B4I2B5_DROSE	GO:0030014
N_100._tr|B4HFC3|B4HFC3_DROSE	
N_101._tr|B4HY24|B4HY24_DROSE	GO:0003723
N_102._tr|B4HF38|B4HF38_DROSE	GO:0004252	GO:0006508
N_103._tr|B4HDY7|B4HDY7_DROSE	GO:0031966
N_104._tr|B4IE92|B4IE92_DROSE	GO:0003723
N_105._tr|B4HNQ1|B4HNQ1_DROSE	GO:0005515
N_106._sp|B4I7X1|ASPG2_DROSE	GO:0016787
N_107._tr|B4I8A6|B4I8A6_DROSE	GO:0005509	GO:0005509	GO:0005509	GO:0005509	GO:0005509	GO:0005509
N_108._tr|B4IIE1|B4IIE1_DROSE	GO:0050909	GO:0016021	GO:0004984	GO:0005549	GO:0007608	GO:0016020
N_109._tr|B4ID66|B4ID66_DROSE	
N_110._tr|B4I419|B4I419_DROSE	
N_111._tr|B4HFW7|B4HFW7_DROSE	
N_112._tr|B4I7F4|B4I7F4_DROSE	
N_113._tr|B4IA48|B4IA48_DROSE	GO:0005085
N_114._tr|B4I7Y8|B4I7Y8_DROSE	GO:0016787
N_115._tr|B4HMX7|B4HMX7_DROSE	GO:0007165
N_116._tr|B4IKM0|B4IKM0_DROSE	GO:0046873	GO:0030001	GO:0016020
N_117._tr|B4HIR5|B4HIR5_DROSE	GO:0042586
N_118._tr|B4HWA0|B4HWA0_DROSE	
N_119._tr|B4HRT8|B4HRT8_DROSE	GO:0008168	GO:0008168	GO:0008176	GO:0006400
N_120._tr|B4HGJ4|B4HGJ4_DROSE	GO:0016055	GO:0005515	GO:0008013	GO:0016055
N_121._tr|B4IHQ0|B4IHQ0_DROSE	GO:0022857	GO:0055085
N_122._tr|B4HZ02|B4HZ02_DROSE	
N_123._tr|B4IFE0|B4IFE0_DROSE	GO:0016409
N_124._tr|B4HRZ9|B4HRZ9_DROSE	
N_125._tr|B4IF17|B4IF17_DROSE	
N_126._tr|B4IHZ1|B4IHZ1_DROSE	GO:0005085
N_127._tr|B4HZL3|B4HZL3_DROSE	GO:0008138	GO:0016311
N_128._tr|B4HS31|B4HS31_DROSE	GO:0003700	GO:0008270	GO:0043565	GO:0006355
N_129._tr|B4IBU1|B4IBU1_DROSE	
N_130._tr|B4HE64|B4HE64_DROSE	
N_131._tr|B4HLC6|B4HLC6_DROSE	GO:0019722
N_132._tr|B4I2H9|B4I2H9_DROSE	
N_133._tr|B4I4B4|B4I4B4_DROSE	GO:0097573
N_134._tr|B4IBF0|B4IBF0_DROSE	GO:0005515
N_135._tr|B4IJ02|B4IJ02_DROSE	GO:0005198	GO:0006886	GO:0016192	GO:0030126	GO:0005515	GO:0006886	GO:0016192	GO:0030117
N_136._tr|B4IFM6|B4IFM6_DROSE	
N_137._tr|B4I7L4|B4I7L4_DROSE	GO:0033739	GO:0008616
N_138._tr|B4I2B6|B4I2B6_DROSE	
N_139._tr|B4IH62|B4IH62_DROSE	
N_140._tr|B4INI0|B4INI0_DROSE	
N_141._sp|B4IB36|MAEL_DROSE	GO:0060964
N_142._tr|B4I6I9|B4I6I9_DROSE	GO:0004497	GO:0005506	GO:0016705	GO:0020037
N_143._tr|B4HIN9|B4HIN9_DROSE	GO:0016787	GO:0016787
N_144._tr|B4I0N3|B4I0N3_DROSE	GO:0005509
N_145._tr|B4HNT5|B4HNT5_DROSE	
N_146._tr|B4I3M0|B4I3M0_DROSE	
N_147._tr|B4I503|B4I503_DROSE	
N_148._tr|B4I295|B4I295_DROSE	
N_149._tr|B4I7K6|B4I7K6_DROSE	
N_150._tr|B4IF31|B4IF31_DROSE	GO:0003676	GO:0005524	GO:0003677	GO:0005524	GO:0016787
N_151._tr|B4I1P2|B4I1P2_DROSE	GO:0005515	GO:0005515
N_152._tr|B4IKH0|B4IKH0_DROSE	GO:0004814	GO:0005524	GO:0006420
N_153._tr|B4I3V2|B4I3V2_DROSE	
N_154._tr|B4HNK3|B4HNK3_DROSE	
N_155._tr|B4I8E2|B4I8E2_DROSE	
N_156._tr|B4IC33|B4IC33_DROSE	
N_157._tr|B4HFJ9|B4HFJ9_DROSE	GO:0005506	GO:0050113	GO:0019310	GO:0005737
N_158._tr|B4HK73|B4HK73_DROSE	GO:0006487	GO:0034998
N_159._tr|B4HJI7|B4HJI7_DROSE	GO:0003676
N_160._tr|B4I7L1|B4I7L1_DROSE	GO:0003677
N_161._tr|B4HNQ7|B4HNQ7_DROSE	GO:0004611	GO:0006094	GO:0004611	GO:0006094
N_162._tr|B4HTP9|B4HTP9_DROSE	GO:0008200	GO:0019871	GO:0005576
N_163._tr|B4HHJ9|B4HHJ9_DROSE	
N_164._tr|B4I288|B4I288_DROSE	GO:0005484	GO:0006890
N_165._tr|B4I0L4|B4I0L4_DROSE	GO:0008374	GO:0006629	GO:0016788
N_166._tr|B4INJ4|B4INJ4_DROSE	GO:0070273
N_167._tr|B4HEY5|B4HEY5_DROSE	GO:0008061	GO:0005576
N_168._tr|B4IIB1|B4IIB1_DROSE	
N_169._tr|B4HEI5|B4HEI5_DROSE	GO:0022857	GO:0055085	GO:0016021	GO:0022857	GO:0055085
N_170._tr|B4IAN4|B4IAN4_DROSE	GO:0061608	GO:0006606	GO:0042254	GO:0005634
N_171._tr|B4IDN3|B4IDN3_DROSE	
N_172._tr|B4HX86|B4HX86_DROSE	GO:0016021
N_173._tr|B4IQ50|B4IQ50_DROSE	
N_174._tr|B4IHX6|B4IHX6_DROSE	GO:0005548	GO:0015914
N_175._tr|B4HS33|B4HS33_DROSE	GO:0005524	GO:0030983	GO:0006298	GO:0005524	GO:0006298
N_176._tr|B4HN09|B4HN09_DROSE	
N_177._tr|B4IMS7|B4IMS7_DROSE	GO:0003677
N_178._tr|B4HVI8|B4HVI8_DROSE	GO:0003924	GO:0005525	GO:0005525	GO:0003924	GO:0005525	GO:0005525	GO:0003924	GO:0005525
N_179._tr|B4HXU0|B4HXU0_DROSE	GO:0006123	GO:0005740	GO:0005751
N_180._tr|B4IHG8|B4IHG8_DROSE	GO:0005515	GO:0005515
N_181._tr|B4IN06|B4IN06_DROSE	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_182._tr|B4HYU9|B4HYU9_DROSE	GO:0004867
N_183._tr|B4IBJ1|B4IBJ1_DROSE	GO:0005515
N_184._tr|B4ID43|B4ID43_DROSE	
N_185._tr|B4HRQ3|B4HRQ3_DROSE	GO:0003677
N_186._tr|B4HFL6|B4HFL6_DROSE	
N_187._tr|B4IJT0|B4IJT0_DROSE	
N_188._tr|B4I4K0|B4I4K0_DROSE	GO:0003677
N_189._tr|B4HX61|B4HX61_DROSE	
N_190._tr|B4IKB7|B4IKB7_DROSE	GO:0008270
N_191._tr|B4HIC5|B4HIC5_DROSE	
N_192._tr|B4IC50|B4IC50_DROSE	GO:0004471	GO:0051287
N_193._tr|B4I6S6|B4I6S6_DROSE	GO:0004930	GO:0007186	GO:0016021
N_194._tr|B4IDK9|B4IDK9_DROSE	GO:0005975
N_195._tr|B4I8C4|B4I8C4_DROSE	GO:0003735	GO:0006412	GO:0005840
N_196._tr|B4ID37|B4ID37_DROSE	GO:0005515	GO:0005515	GO:0005515	GO:0042802	GO:0005515
N_197._tr|B4I1W9|B4I1W9_DROSE	GO:0016627	GO:0016627	GO:0016627	GO:0050660
N_198._tr|B4IEN4|B4IEN4_DROSE	
N_199._tr|B4ICZ2|B4ICZ2_DROSE	GO:0016301	GO:0032958
N_200._tr|B3U0X1|B3U0X1_DROSE	
N_201._tr|B4IP23|B4IP23_DROSE	GO:0003677	GO:0071821	GO:0006352
N_202._tr|B2ZIC0|B2ZIC0_DROSE	GO:0003700	GO:0043565	GO:0006355
N_203._tr|B4HN64|B4HN64_DROSE	
N_204._tr|B4HWE7|B4HWE7_DROSE	GO:0003676	GO:0005524
N_205._tr|B4HXI3|B4HXI3_DROSE	
N_206._tr|B4HKU5|B4HKU5_DROSE	GO:0003700	GO:0043565	GO:0006355
N_207._tr|B4HJA1|B4HJA1_DROSE	
N_208._tr|B4I5V0|B4I5V0_DROSE	GO:0003924	GO:0005525	GO:0005525	GO:0003924	GO:0005525	GO:0003924	GO:0005525
N_209._tr|B4HFT1|B4HFT1_DROSE	
N_210._tr|B4HE50|B4HE50_DROSE	GO:0005515	GO:0005515	GO:0005515
N_211._tr|B4I2V7|B4I2V7_DROSE	GO:0016787
N_212._tr|B4IDL3|B4IDL3_DROSE	GO:0008061	GO:0005576
N_213._tr|B4IA78|B4IA78_DROSE	GO:0005515	GO:0005515
N_214._tr|B4IIF5|B4IIF5_DROSE	GO:0006368	GO:0016570	GO:0016593
N_215._tr|B4HRZ6|B4HRZ6_DROSE	GO:0042302
N_216._tr|B4I1D2|B4I1D2_DROSE	
N_217._tr|B4HQC1|B4HQC1_DROSE	GO:0004497	GO:0005506	GO:0016705	GO:0020037
N_218._tr|B4I3H2|B4I3H2_DROSE	
N_219._tr|B4HVU4|B4HVU4_DROSE	GO:0005096
N_220._tr|B4HMU6|B4HMU6_DROSE	GO:0016787	GO:0016787	GO:0009166
N_221._tr|B4HW61|B4HW61_DROSE	GO:0009190	GO:0035556
N_222._tr|B4IEF7|B4IEF7_DROSE	GO:0005515	GO:0006355	GO:0005634	GO:0005515
N_223._tr|B4HV23|B4HV23_DROSE	GO:0000062
N_224._tr|B4HW65|B4HW65_DROSE	GO:0002098	GO:0033588
N_225._tr|B4HKE0|B4HKE0_DROSE	GO:0005525
N_226._tr|B4IEK6|B4IEK6_DROSE	GO:0008289
N_227._tr|B4IB33|B4IB33_DROSE	GO:0005096
N_228._tr|B4HRH1|B4HRH1_DROSE	
N_229._tr|A0PKA6|A0PKA6_DROSE	GO:0003677
N_230._tr|B4HR94|B4HR94_DROSE	GO:0004984	GO:0005549	GO:0007608	GO:0016020
N_231._tr|B4HK54|B4HK54_DROSE	GO:0016491	GO:0016491
N_232._tr|B4IAR2|B4IAR2_DROSE	GO:0046872	GO:0046872
N_233._tr|B4I765|B4I765_DROSE	GO:0043015
N_234._tr|B4HSF1|B4HSF1_DROSE	GO:0005515	GO:0005515	GO:0004222	GO:0006508
N_235._tr|B4IKQ1|B4IKQ1_DROSE	
N_236._tr|B4HGS0|B4HGS0_DROSE	GO:0016021
N_237._tr|B4I479|B4I479_DROSE	
N_238._tr|B4HG98|B4HG98_DROSE	GO:0003677
N_239._tr|B4IC77|B4IC77_DROSE	
N_240._tr|B4HKM8|B4HKM8_DROSE	GO:0070569
N_241._tr|B4I1C1|B4I1C1_DROSE	GO:0005515	GO:0005515	GO:0005515	GO:0005515	GO:0005515
N_242._tr|B4HUQ9|B4HUQ9_DROSE	
N_243._tr|B4HEY2|B4HEY2_DROSE	
N_244._tr|B4HJ92|B4HJ92_DROSE	GO:0046933	GO:0015986	GO:0000275
N_245._tr|B4HX26|B4HX26_DROSE	GO:0004383	GO:0006182	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468	GO:0009190	GO:0035556
N_246._tr|B4HSM8|B4HSM8_DROSE	
N_247._tr|B4HHW7|B4HHW7_DROSE	GO:0003723
N_248._tr|B4ILD7|B4ILD7_DROSE	
N_249._tr|B4HKE9|B4HKE9_DROSE	GO:0004984	GO:0005549	GO:0007608	GO:0016020
N_250._tr|B4IGV7|B4IGV7_DROSE	
N_251._tr|B4I1D4|B4I1D4_DROSE	
N_252._sp|B4HEM4|PDE6_DROSE	GO:0005515	GO:0004114	GO:0007165	GO:0005515
N_253._tr|B4IQK9|B4IQK9_DROSE	
N_254._tr|B4IKN5|B4IKN5_DROSE	GO:0004970	GO:0016020	GO:0015276	GO:0016020
N_255._tr|B4I2Q9|B4I2Q9_DROSE	GO:0005509	GO:0005509	GO:0005509	GO:0016491	GO:0005509	GO:0005509	GO:0016491
N_256._tr|B4HSE6|B4HSE6_DROSE	GO:0004252	GO:0006508
N_257._tr|B4HJM6|B4HJM6_DROSE	
N_258._tr|B4IKL5|B4IKL5_DROSE	GO:0003677
N_259._tr|B4IG24|B4IG24_DROSE	GO:0008146	GO:0016021
N_260._tr|B4HT12|B4HT12_DROSE	GO:0016020	GO:0016021
N_261._tr|B4IPM5|B4IPM5_DROSE	GO:0004497	GO:0005506	GO:0016705	GO:0020037
N_262._tr|B4HZQ7|B4HZQ7_DROSE	GO:0016787
N_263._tr|B4HFQ7|B4HFQ7_DROSE	GO:0003723	GO:0003723
N_264._tr|B4HQC5|B4HQC5_DROSE	GO:0090266	GO:0005680
N_265._tr|B4I042|B4I042_DROSE	
N_266._tr|B4HJI4|B4HJI4_DROSE	GO:0005515	GO:0005546	GO:0006887	GO:0000145
N_267._tr|B4I348|B4I348_DROSE	
N_268._tr|B4IK53|B4IK53_DROSE	
N_269._tr|B4IHI6|B4IHI6_DROSE	
N_270._tr|B4I3T0|B4I3T0_DROSE	GO:0004842
N_271._tr|B4IKQ2|B4IKQ2_DROSE	GO:0046332
N_272._tr|B4HMA4|B4HMA4_DROSE	GO:0051082	GO:0006457	GO:0016272
N_273._tr|B4HU62|B4HU62_DROSE	
N_274._tr|B4ICS2|B4ICS2_DROSE	
N_275._tr|B4HJJ3|B4HJJ3_DROSE	GO:0003723	GO:0009982	GO:0001522	GO:0009451
N_276._tr|B4HUD4|B4HUD4_DROSE	GO:0044183	GO:0045048	GO:0030176
N_277._tr|B4HRR9|B4HRR9_DROSE	GO:0004497	GO:0005506	GO:0016705	GO:0020037
N_278._tr|B4I8A2|B4I8A2_DROSE	GO:0016491
N_279._tr|B4HIL1|B4HIL1_DROSE	GO:0003676	GO:0005524	GO:0003677	GO:0005524	GO:0016787
N_280._tr|B4I876|B4I876_DROSE	
N_281._tr|B4INR9|B4INR9_DROSE	GO:0003677	GO:0071821	GO:0006352
N_282._tr|B4IB19|B4IB19_DROSE	
N_283._tr|B4HP59|B4HP59_DROSE	
N_284._tr|B4HQI9|B4HQI9_DROSE	
N_285._tr|B4IJG2|B4IJG2_DROSE	GO:0004222	GO:0006508	GO:0006508
N_286._tr|B4HHS9|B4HHS9_DROSE	GO:0000213	GO:0006388
N_287._tr|B4IER9|B4IER9_DROSE	GO:0004252	GO:0006508
N_288._tr|B4IHD7|B4IHD7_DROSE	
N_289._tr|B4HFL8|B4HFL8_DROSE	GO:0004930	GO:0007186	GO:0016021	GO:0008528
N_290._tr|B4ICF6|B4ICF6_DROSE	GO:0006629
N_291._tr|B4HVD4|B4HVD4_DROSE	
N_292._tr|B4IF57|B4IF57_DROSE	GO:0003755	GO:0000413
N_293._tr|B4IJU6|B4IJU6_DROSE	GO:0005230	GO:0006811	GO:0016021
N_294._tr|B4IF36|B4IF36_DROSE	
N_295._tr|B4HQ51|B4HQ51_DROSE	GO:0005524	GO:0005524	GO:0016887
N_296._tr|B4HPS0|B4HPS0_DROSE	GO:0005549
N_297._tr|B4HIW7|B4HIW7_DROSE	GO:0003723	GO:0003743	GO:0006413
N_298._tr|B4ICL8|B4ICL8_DROSE	GO:0005524	GO:0016773	GO:0005975	GO:0005524	GO:0016773	GO:0005975
N_299._tr|B4IQ28|B4IQ28_DROSE	
N_300._tr|B4HGN1|B4HGN1_DROSE	GO:0005515
N_301._tr|B4HQY5|B4HQY5_DROSE	GO:0005515
N_302._tr|B4HPX1|B4HPX1_DROSE	GO:0016830	GO:0030170	GO:0019752
N_303._tr|B4I8D3|B4I8D3_DROSE	
N_304._tr|B4IAY4|B4IAY4_DROSE	
N_305._tr|B4HSG9|B4HSG9_DROSE	GO:0004252	GO:0006508
N_306._tr|B4IKE8|B4IKE8_DROSE	GO:0005515
N_307._tr|B4ILL7|B4ILL7_DROSE	GO:0003735	GO:0006412	GO:0005840
N_308._tr|B4I1X9|B4I1X9_DROSE	GO:0005615	GO:0004866	GO:0005576	GO:0004866
N_309._tr|B4HY93|B4HY93_DROSE	
N_310._tr|B4I2D8|B4I2D8_DROSE	
N_311._tr|B4HEK6|B4HEK6_DROSE	GO:0005509	GO:0007156	GO:0016020
N_312._tr|B4HK13|B4HK13_DROSE	GO:0005515
N_313._tr|B4I7E7|B4I7E7_DROSE	GO:0004984	GO:0005549	GO:0007608	GO:0016020
N_314._tr|B4HF28|B4HF28_DROSE	
N_315._tr|B4I9J2|B4I9J2_DROSE	GO:0003712	GO:0006357	GO:0016592
N_316._tr|B4HG24|B4HG24_DROSE	GO:0005515
N_317._tr|B4I9C0|B4I9C0_DROSE	GO:0003779	GO:0016043	GO:0003779	GO:0031267	GO:0030036
N_318._tr|B4HN19|B4HN19_DROSE	GO:0016491	GO:0015930	GO:0016638	GO:0006537	GO:0003824
N_319._tr|B4HY43|B4HY43_DROSE	GO:0006820	GO:0016021	GO:0008509	GO:0006820	GO:0016021
N_320._sp|B4HN85|BOP1_DROSE	GO:0005515	GO:0006364
N_321._tr|B4I6M9|B4I6M9_DROSE	
N_322._tr|B4HZ51|B4HZ51_DROSE	GO:0004252	GO:0006508
N_323._tr|B4I874|B4I874_DROSE	GO:0003755	GO:0000413
N_324._tr|B4I3K1|B4I3K1_DROSE	GO:0003723
N_325._tr|B4I8V9|B4I8V9_DROSE	
N_326._tr|B4I7A7|B4I7A7_DROSE	GO:0003723
N_327._tr|B4HTJ0|B4HTJ0_DROSE	GO:0016301
N_328._tr|B4IH19|B4IH19_DROSE	GO:0008270	GO:0005634
N_329._tr|B4HQ93|B4HQ93_DROSE	
N_330._tr|B4HZV9|B4HZV9_DROSE	GO:0005515	GO:0005515	GO:0005515
N_331._tr|B4HLV8|B4HLV8_DROSE	GO:0005524	GO:0140658	GO:0003676	GO:0005524	GO:0003677	GO:0005524	GO:0016787
N_332._tr|B4HVR1|B4HVR1_DROSE	GO:0003924	GO:0005525	GO:0003924	GO:0005525
N_333._tr|B4HKY1|B4HKY1_DROSE	GO:0022857	GO:0055085	GO:0016021	GO:0022857	GO:0055085
N_334._tr|B4HRR2|B4HRR2_DROSE	GO:0004497	GO:0005506	GO:0016705	GO:0020037
N_335._tr|B4IAR5|B4IAR5_DROSE	
N_336._tr|B4HJU0|B4HJU0_DROSE	GO:0005515	GO:0016787
N_337._tr|B4I4Z2|B4I4Z2_DROSE	GO:0005524	GO:0140658
N_338._tr|B4INI6|B4INI6_DROSE	GO:0003677	GO:0008170	GO:0006306	GO:0008168
N_339._tr|B4HMC6|B4HMC6_DROSE	GO:0005164	GO:0006955	GO:0016020
N_340._tr|B4INF1|B4INF1_DROSE	GO:0003682
N_341._tr|B4HJQ0|B4HJQ0_DROSE	
N_342._tr|B4IJK9|B4IJK9_DROSE	
N_343._tr|B4HJW2|B4HJW2_DROSE	
N_344._tr|B4HH49|B4HH49_DROSE	GO:0005515
N_345._tr|B4IQH9|B4IQH9_DROSE	
N_346._tr|B4IJS2|B4IJS2_DROSE	GO:0046872	GO:0005515	GO:0008270
N_347._tr|B4IH17|B4IH17_DROSE	GO:0008134	GO:0019904	GO:0003700	GO:0043565	GO:0006355
N_348._tr|B4HFL0|B4HFL0_DROSE	
N_349._tr|B4I393|B4I393_DROSE	GO:0022857	GO:0055085
N_350._tr|B4HM38|B4HM38_DROSE	GO:0008237	GO:0008270
N_351._tr|B4HJV1|B4HJV1_DROSE	
N_352._tr|B4IKZ4|B4IKZ4_DROSE	GO:0016491
N_353._tr|B4IDQ0|B4IDQ0_DROSE	GO:0016021
N_354._tr|B4HMQ3|B4HMQ3_DROSE	GO:0004497	GO:0005506	GO:0016705	GO:0020037
N_355._tr|B4HRL3|B4HRL3_DROSE	GO:0005524	GO:0030983	GO:0006298
N_356._tr|B4IDW2|B4IDW2_DROSE	GO:0003924	GO:0005525	GO:0003924	GO:0005525
N_357._tr|B4HUJ1|B4HUJ1_DROSE	GO:0008270	GO:0046872
N_358._tr|B4HGJ0|B4HGJ0_DROSE	
N_359._tr|B4HG31|B4HG31_DROSE	GO:0003743	GO:0006413
N_360._tr|B4HQM9|B4HQM9_DROSE	GO:0045892	GO:0005634
N_361._tr|B4HXZ5|B4HXZ5_DROSE	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_362._tr|B4HVM2|B4HVM2_DROSE	GO:0005515
N_363._tr|B4I0Z1|B4I0Z1_DROSE	GO:0003700	GO:0045893
N_364._tr|B4IM59|B4IM59_DROSE	GO:0016491	GO:0046983
N_365._tr|B4IIK3|B4IIK3_DROSE	GO:0005515
N_366._tr|B4ID51|B4ID51_DROSE	GO:0005515	GO:0005515	GO:0005515
N_367._tr|B4IIF8|B4IIF8_DROSE	GO:0005515	GO:0005515
N_368._tr|B4HLW3|B4HLW3_DROSE	GO:0031267
N_369._tr|B4I2X8|B4I2X8_DROSE	GO:0005524	GO:0008134	GO:0006355	GO:0005524	GO:0016887	GO:0005524	GO:0016887	GO:0009378	GO:0006281	GO:0006310	GO:0005524	GO:0016887
