N_1._tr|A0A0J9RCZ1|A0A0J9RCZ1_DROSI	
N_28._tr|A0A0J9R074|A0A0J9R074_DROSI	
N_29._tr|B4QQH6|B4QQH6_DROSI	
N_30._tr|B4QGF5|B4QGF5_DROSI	GO:0051539
N_31._tr|A0A0J9QYH7|A0A0J9QYH7_DROSI	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_32._tr|B4QAU3|B4QAU3_DROSI	GO:0003723
N_33._sp|B4R1Q1|TOTZ_DROSI	GO:0002376
N_34._tr|Q30CP0|Q30CP0_DROSI	
N_35._tr|B4QP52|B4QP52_DROSI	GO:0004252	GO:0006508
N_36._tr|B4QWR1|B4QWR1_DROSI	GO:0005515
N_37._tr|A0A0J9R5T3|A0A0J9R5T3_DROSI	GO:0005524	GO:0016887	GO:0005515
N_38._tr|B4QCM5|B4QCM5_DROSI	GO:0005509	GO:0005509	GO:0005515	GO:0005509	GO:0005509	GO:0005509
N_39._tr|Q6R236|Q6R236_DROSI	GO:0008137	GO:0042773
N_40._tr|B4R0A8|B4R0A8_DROSI	GO:0003735	GO:0006412	GO:0005840
N_41._tr|A0A0J9QZ08|A0A0J9QZ08_DROSI	GO:0005272	GO:0006814	GO:0016020
N_42._tr|B4QPR4|B4QPR4_DROSI	GO:0015018	GO:0016020
N_43._tr|A0A0J9RNW6|A0A0J9RNW6_DROSI	GO:0004930	GO:0007186	GO:0016021	GO:0008528
N_44._tr|Q86C04|Q86C04_DROSI	GO:0003714
N_45._tr|A4ULW4|A4ULW4_DROSI	GO:0007275	GO:0042600
N_46._tr|B4R5A0|B4R5A0_DROSI	
N_47._tr|B4QWN7|B4QWN7_DROSI	
N_48._tr|A0A0J9S129|A0A0J9S129_DROSI	
N_49._tr|B4QSP7|B4QSP7_DROSI	GO:0006368	GO:0016570	GO:0016593
N_50._tr|B4QZD3|B4QZD3_DROSI	GO:0005515
N_51._tr|G3E6Z3|G3E6Z3_DROSI	GO:0004367	GO:0005975	GO:0016616	GO:0051287	GO:0046168
N_52._tr|A0A0J9RPE0|A0A0J9RPE0_DROSI	GO:0007165	GO:0005515	GO:0005515
N_53._tr|B4R259|B4R259_DROSI	
N_54._tr|B4R3T7|B4R3T7_DROSI	GO:0004843	GO:0016579
N_55._tr|A0A3Q7YM29|A0A3Q7YM29_DROSI	GO:0004555	GO:0005991
N_56._tr|A0A0J9RS35|A0A0J9RS35_DROSI	GO:0005515
N_57._tr|B4QGU0|B4QGU0_DROSI	
N_58._tr|Q2UXN7|Q2UXN7_DROSI	
N_59._tr|B4QKL1|B4QKL1_DROSI	
N_60._tr|B4Q4Z2|B4Q4Z2_DROSI	GO:0055085	GO:0016020	GO:0005515	GO:0022857	GO:0055085
N_61._tr|A0A0J9QXJ1|A0A0J9QXJ1_DROSI	GO:0005615	GO:0004866	GO:0005576	GO:0004866
N_62._tr|A0A0A7KUK9|A0A0A7KUK9_DROSI	
N_63._tr|B4QZ43|B4QZ43_DROSI	GO:0008080	GO:0016747	GO:0008080	GO:0008080
N_64._tr|A0A0J9RMB9|A0A0J9RMB9_DROSI	GO:0016021
N_65._tr|A0A0J9R593|A0A0J9R593_DROSI	GO:0022857	GO:0055085	GO:0016020	GO:0055085	GO:0016021
N_66._tr|B4R3J6|B4R3J6_DROSI	GO:0015165	GO:0090481	GO:0000139	GO:0016021	GO:0055085	GO:0016020	GO:0016021
N_67._tr|Q2UY86|Q2UY86_DROSI	
N_68._tr|B4QI27|B4QI27_DROSI	
N_69._tr|Q58SA6|Q58SA6_DROSI	GO:0005515
N_70._tr|B4R4E3|B4R4E3_DROSI	GO:0016799
N_71._tr|B4QFK2|B4QFK2_DROSI	
N_72._tr|B4QI67|B4QI67_DROSI	GO:0005515
N_73._tr|A9YIH5|A9YIH5_DROSI	
N_74._tr|D7F932|D7F932_DROSI	GO:0050909	GO:0016021	GO:0004984	GO:0005549	GO:0007608	GO:0016020
N_75._tr|B4QVP4|B4QVP4_DROSI	GO:0051920	GO:0016491	GO:0016209	GO:0016491
N_76._tr|A0A0J9RVP8|A0A0J9RVP8_DROSI	
N_77._tr|Q6W404|Q6W404_DROSI	GO:0003677	GO:0006355	GO:0003677
N_78._tr|O77032|O77032_DROSI	GO:0046983
N_79._tr|K7WS84|K7WS84_DROSI	GO:0003676	GO:0005524	GO:0004386
N_80._tr|B4QJY5|B4QJY5_DROSI	GO:0005216	GO:0006811	GO:0055085	GO:0016020
N_81._tr|B4R2L4|B4R2L4_DROSI	GO:0003723
N_82._tr|C8AY54|C8AY54_DROSI	
N_83._tr|B4QB51|B4QB51_DROSI	GO:0004984	GO:0005549	GO:0007608	GO:0016020
N_84._tr|B4QD01|B4QD01_DROSI	GO:0030246
N_85._tr|B4QMI5|B4QMI5_DROSI	
N_86._tr|D7FA74|D7FA74_DROSI	GO:0008527	GO:0050912	GO:0016021
N_87._tr|A0A0J9RN59|A0A0J9RN59_DROSI	GO:0005096
N_88._tr|B4Q455|B4Q455_DROSI	
N_89._tr|B4Q8Z3|B4Q8Z3_DROSI	GO:0004144	GO:0045017	GO:0004144
N_90._tr|B4QT33|B4QT33_DROSI	GO:0022857	GO:0055085	GO:0016021	GO:0022857	GO:0055085
N_91._tr|A0A0J9R2Q6|A0A0J9R2Q6_DROSI	
N_92._sp|B4QUC1|MOC2A_DROSI	
N_93._tr|B4Q6P9|B4Q6P9_DROSI	
N_94._tr|A0A0J9QZ80|A0A0J9QZ80_DROSI	
N_95._tr|D7F945|D7F945_DROSI	GO:0050909	GO:0016021	GO:0004984	GO:0005549	GO:0007608	GO:0016020
N_96._tr|B4Q8K9|B4Q8K9_DROSI	GO:0000287	GO:0004743	GO:0030955	GO:0006096
N_97._tr|A0A0J9TR90|A0A0J9TR90_DROSI	GO:0016491	GO:0016491	GO:0016491	GO:0071949
N_98._tr|A0A0J9TQF0|A0A0J9TQF0_DROSI	GO:0016747
N_99._tr|B4QCT2|B4QCT2_DROSI	
N_100._tr|A0A0J9RGG1|A0A0J9RGG1_DROSI	
N_101._tr|Q58SK7|Q58SK7_DROSI	GO:0016844	GO:0009058	GO:0005515
N_102._tr|B4NVB7|B4NVB7_DROSI	GO:0003677	GO:0003700	GO:0006355
N_103._tr|G9LQZ7|G9LQZ7_DROSI	GO:0046961	GO:1902600	GO:0000221	GO:0043248	GO:0005515	GO:0005515	GO:1902600	GO:0000221
N_104._tr|D7FAR5|D7FAR5_DROSI	GO:0050909	GO:0016021
N_105._tr|B6UY87|B6UY87_DROSI	GO:0003777	GO:0005524	GO:0008017	GO:0007018	GO:0008017
N_106._tr|Q5R296|Q5R296_DROSI	GO:0005272	GO:0006814	GO:0016020
N_107._tr|A0A0J9QYE3|A0A0J9QYE3_DROSI	GO:0016787
N_108._tr|A0A0J9QYN8|A0A0J9QYN8_DROSI	
N_109._tr|B4QFP2|B4QFP2_DROSI	GO:0008194
N_110._tr|A0A0J9RIA1|A0A0J9RIA1_DROSI	GO:0005515	GO:0005515
N_111._tr|A0A0J9R668|A0A0J9R668_DROSI	GO:0003924	GO:0019001	GO:0031683	GO:0007186
N_112._tr|A0A0J9TX13|A0A0J9TX13_DROSI	GO:0003951	GO:0006741
N_113._tr|B4QPS7|B4QPS7_DROSI	GO:0004984	GO:0007186	GO:0016021	GO:0004930	GO:0007186	GO:0016021
N_114._tr|A0A0J9R700|A0A0J9R700_DROSI	GO:0007009
N_115._tr|B4R2V6|B4R2V6_DROSI	GO:0003700	GO:0043565	GO:0006355
N_116._tr|A0A0J9R7Y4|A0A0J9R7Y4_DROSI	GO:0031625	GO:0006511
N_117._tr|B4QJQ2|B4QJQ2_DROSI	GO:0046855
N_118._tr|B4QA88|B4QA88_DROSI	GO:0003735	GO:0019843	GO:0006412	GO:0005840
N_119._tr|A0A0J9S0G9|A0A0J9S0G9_DROSI	GO:0005249	GO:0006811	GO:0016020
N_120._tr|B4Q845|B4Q845_DROSI	
N_121._tr|A0A0J9RRU5|A0A0J9RRU5_DROSI	
N_122._tr|F6JL36|F6JL36_DROSI	
N_123._tr|F6JGM4|F6JGM4_DROSI	GO:0046872
N_124._tr|A0A0J9RJ04|A0A0J9RJ04_DROSI	GO:0005515	GO:0005515	GO:0005515	GO:0005515
N_125._tr|B4QKQ4|B4QKQ4_DROSI	GO:0004345	GO:0050661	GO:0006006	GO:0016614	GO:0050661	GO:0006006
N_126._tr|A0A0J9RH06|A0A0J9RH06_DROSI	
N_127._sp|B4QGZ1|NTAQ1_DROSI	
N_128._tr|A0A0J9UR40|A0A0J9UR40_DROSI	GO:0003712	GO:0006357	GO:0016592
N_129._tr|B4QAJ1|B4QAJ1_DROSI	GO:0008194	GO:0016758
N_130._tr|A0A0J9QVA0|A0A0J9QVA0_DROSI	GO:0005515	GO:0005515
N_131._tr|B4QF17|B4QF17_DROSI	GO:0004252	GO:0006508
N_132._tr|A0A0P0IAR5|A0A0P0IAR5_DROSI	GO:0015078	GO:0015986	GO:0000276
N_133._tr|A0A0J9RSK9|A0A0J9RSK9_DROSI	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_134._tr|Q86BZ6|Q86BZ6_DROSI	GO:0003677	GO:0003700	GO:0006355
N_135._tr|B4QIJ1|B4QIJ1_DROSI	GO:0003723	GO:0005515
N_136._tr|B4R0B9|B4R0B9_DROSI	GO:0002098	GO:0033588
N_137._tr|A1YK19|A1YK19_DROSI	
N_138._tr|B4QPU4|B4QPU4_DROSI	GO:0005515	GO:0005515	GO:0005515	GO:0005515	GO:0005515
N_139._tr|B4R3R7|B4R3R7_DROSI	
N_140._tr|A0A0J9RAX5|A0A0J9RAX5_DROSI	
N_141._tr|B4Q6P6|B4Q6P6_DROSI	GO:0003723
N_142._tr|A0A0J9R6S2|A0A0J9R6S2_DROSI	GO:0016491	GO:0016209	GO:0016491	GO:0048511
N_143._tr|A0A0J9RYW6|A0A0J9RYW6_DROSI	GO:0022857	GO:0055085
N_144._tr|B4QAN7|B4QAN7_DROSI	
N_145._tr|A0A3Q7YM15|A0A3Q7YM15_DROSI	
N_146._tr|D7F9A7|D7F9A7_DROSI	GO:0004984	GO:0005549	GO:0007608	GO:0016020
N_147._tr|A0A0J9R4I4|A0A0J9R4I4_DROSI	
N_148._tr|A7WLY7|A7WLY7_DROSI	
N_149._tr|Q6R232|Q6R232_DROSI	GO:0016020
N_150._tr|B4QWV2|B4QWV2_DROSI	GO:0008270	GO:0005634
N_151._tr|B4R314|B4R314_DROSI	GO:0005515	GO:0006886
N_152._tr|B4NSN3|B4NSN3_DROSI	GO:0055085	GO:0016020	GO:0022857	GO:0055085
N_153._tr|D7F8X8|D7F8X8_DROSI	GO:0004984	GO:0005549	GO:0007608	GO:0016020
N_154._tr|B4QNW0|B4QNW0_DROSI	GO:0042742	GO:0005576
N_155._tr|B4R164|B4R164_DROSI	
N_156._tr|B4NUG5|B4NUG5_DROSI	GO:0016747
N_157._tr|A0A0J9S0J4|A0A0J9S0J4_DROSI	GO:0005509
N_158._tr|I7C5P7|I7C5P7_DROSI	GO:0015074
N_159._tr|A0A3S6A813|A0A3S6A813_DROSI	GO:0006813	GO:0006814	GO:0005890
N_160._tr|A0A0J9RIL5|A0A0J9RIL5_DROSI	GO:0003779
N_161._tr|B4QIA7|B4QIA7_DROSI	GO:0008376	GO:0032580
N_162._tr|B4R047|B4R047_DROSI	GO:0051536
N_163._tr|D7FAT0|D7FAT0_DROSI	GO:0050909	GO:0016021
N_164._tr|D7F8L7|D7F8L7_DROSI	GO:0004984	GO:0005549	GO:0007608	GO:0016020
N_165._tr|B6UVU4|B6UVU4_DROSI	GO:0003677	GO:0006303
N_166._tr|B4R7G7|B4R7G7_DROSI	GO:0006511	GO:0006511	GO:0005515
N_167._tr|B4QZZ4|B4QZZ4_DROSI	
N_168._tr|B4QRY3|B4QRY3_DROSI	GO:0004594	GO:0005524	GO:0015937
N_169._tr|B4Q6R9|B4Q6R9_DROSI	GO:0005515
N_170._tr|B4QYY1|B4QYY1_DROSI	GO:0003677
N_171._tr|B4R2H0|B4R2H0_DROSI	
N_172._tr|B4R1I9|B4R1I9_DROSI	
N_173._tr|B4QQ02|B4QQ02_DROSI	GO:0005509	GO:0005509	GO:0005515	GO:0005509	GO:0005509	GO:0005509	GO:0005509
N_174._tr|A0A0J9RVP2|A0A0J9RVP2_DROSI	GO:0022857	GO:0055085	GO:0016021	GO:0022857	GO:0055085
N_175._tr|A0A0J9R8A6|A0A0J9R8A6_DROSI	GO:0005975
N_176._tr|B4QJ20|B4QJ20_DROSI	
N_177._tr|A0A3S6AM94|A0A3S6AM94_DROSI	GO:0003723	GO:0009982	GO:0001522	GO:0009451
N_178._tr|B4R217|B4R217_DROSI	GO:0016747
N_179._tr|A0A0J9RRY4|A0A0J9RRY4_DROSI	
N_180._tr|A0A0J9R1D0|A0A0J9R1D0_DROSI	GO:0022857	GO:0055085	GO:0016020	GO:0055085	GO:0016021
N_181._tr|B4QD53|B4QD53_DROSI	
N_182._tr|B4QNW2|B4QNW2_DROSI	GO:0005515
N_183._tr|B4QLG6|B4QLG6_DROSI	
N_184._tr|A0A0J9RLT4|A0A0J9RLT4_DROSI	
N_185._tr|B4QTC1|B4QTC1_DROSI	GO:0022857	GO:0055085	GO:0016021	GO:0022857	GO:0055085
N_186._tr|B4Q8S9|B4Q8S9_DROSI	GO:0004252	GO:0006508
N_187._sp|B4Q865|PESC_DROSI	GO:0042254	GO:0005730
N_188._tr|A0A0J9RMI2|A0A0J9RMI2_DROSI	GO:0005515
N_189._tr|B4QHH7|B4QHH7_DROSI	GO:0022857	GO:0055085	GO:0005337	GO:0015858	GO:0016021
N_190._tr|A0A0J9R0E3|A0A0J9R0E3_DROSI	
N_191._tr|A0A0J9UCX3|A0A0J9UCX3_DROSI	GO:0003779	GO:0007010
N_192._tr|A0A0J9R1L5|A0A0J9R1L5_DROSI	GO:0016853	GO:0005975
N_193._tr|B4QC34|B4QC34_DROSI	GO:0031011
N_194._tr|B4QBG6|B4QBG6_DROSI	
N_195._tr|B4R7I4|B4R7I4_DROSI	GO:0016298
N_196._tr|B4QPM5|B4QPM5_DROSI	
N_197._tr|A0A0J9QV13|A0A0J9QV13_DROSI	GO:0140359	GO:0005524	GO:0016020	GO:0005524	GO:0016887
N_198._tr|A0A0J9R9D6|A0A0J9R9D6_DROSI	GO:0004984	GO:0005549	GO:0007608	GO:0016020
N_199._tr|A0A0J9RG83|A0A0J9RG83_DROSI	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_200._tr|B4QE29|B4QE29_DROSI	
N_201._tr|B4Q657|B4Q657_DROSI	GO:0004730
N_202._tr|B4QM88|B4QM88_DROSI	
N_203._tr|A0A0J9QV59|A0A0J9QV59_DROSI	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_204._tr|A0A3Q7YMV6|A0A3Q7YMV6_DROSI	GO:0003723	GO:0009982	GO:0001522	GO:0009451
N_205._tr|B4Q8H1|B4Q8H1_DROSI	GO:0030833	GO:0034314	GO:0005885	GO:0015629
N_206._tr|B4QHE1|B4QHE1_DROSI	
N_207._tr|A0A0J9QTR8|A0A0J9QTR8_DROSI	GO:0022857	GO:0055085	GO:0016021	GO:0022857	GO:0055085
N_208._tr|B4QHG9|B4QHG9_DROSI	
N_209._tr|B4Q6P4|B4Q6P4_DROSI	GO:0005515	GO:0005515	GO:0005515	GO:0005515	GO:0005515
N_210._tr|A0A0J9TZL7|A0A0J9TZL7_DROSI	
N_211._tr|A0A0J9QZK6|A0A0J9QZK6_DROSI	
N_212._tr|B4Q658|B4Q658_DROSI	GO:0005515
N_213._tr|A0A0J9RZQ6|A0A0J9RZQ6_DROSI	
N_214._sp|B4QGZ2|CGLR1_DROSI	
N_215._tr|B4QXM7|B4QXM7_DROSI	
N_216._tr|A0A0J9RPM5|A0A0J9RPM5_DROSI	GO:0004843	GO:0016579
N_217._tr|A0A0J9R4K3|A0A0J9R4K3_DROSI	GO:0005515	GO:0005515	GO:0005515	GO:0005515
N_218._tr|M1LGP0|M1LGP0_DROSI	
N_219._tr|A0A0J9RHR6|A0A0J9RHR6_DROSI	GO:0003779	GO:0005198	GO:0005856
N_220._tr|B4Q877|B4Q877_DROSI	GO:0005272	GO:0006814	GO:0016020
N_221._tr|B4QSR0|B4QSR0_DROSI	
N_222._tr|Q6W4H5|Q6W4H5_DROSI	GO:0016758	GO:0006486	GO:0016020
N_223._tr|B4QRQ3|B4QRQ3_DROSI	GO:0003677	GO:0006355	GO:0003677
N_224._tr|A0A0J9RT66|A0A0J9RT66_DROSI	GO:0003700	GO:0043565	GO:0006355	GO:0005515
N_225._tr|A0A3Q7YMD8|A0A3Q7YMD8_DROSI	
N_226._tr|A0A0J9RLP8|A0A0J9RLP8_DROSI	
N_227._tr|B4R497|B4R497_DROSI	GO:0008168
N_228._tr|A2TDW1|A2TDW1_DROSI	GO:0006123	GO:0005740	GO:0005751
N_229._tr|A0A0J9REC5|A0A0J9REC5_DROSI	GO:0003777	GO:0005524	GO:0008017	GO:0007018	GO:0008017	GO:0005515
N_230._tr|Q6UKI6|Q6UKI6_DROSI	GO:0003677
N_231._tr|A1YK73|A1YK73_DROSI	GO:0017056	GO:0005643
N_232._tr|F6JCK0|F6JCK0_DROSI	GO:0008745	GO:0009253
N_233._tr|B4QKQ8|B4QKQ8_DROSI	
N_234._tr|A0A0J9RTY1|A0A0J9RTY1_DROSI	GO:0006820	GO:0016021	GO:0008509	GO:0006820	GO:0016021
N_235._tr|A0A0J9U6C7|A0A0J9U6C7_DROSI	GO:0003723
N_236._tr|A0A3Q7YI34|A0A3Q7YI34_DROSI	
N_237._tr|A0A0J9QV80|A0A0J9QV80_DROSI	GO:0005515	GO:0005515	GO:0005515	GO:0005515
N_238._tr|A0A0J9S108|A0A0J9S108_DROSI	
N_239._tr|A0A0J9QTI6|A0A0J9QTI6_DROSI	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_240._tr|B4R1A4|B4R1A4_DROSI	GO:0006629
N_241._tr|B4R0T2|B4R0T2_DROSI	GO:0003777	GO:0005524	GO:0008017	GO:0007018	GO:0008017
N_242._tr|B4QNA6|B4QNA6_DROSI	GO:0005525
N_243._tr|B4QHU3|B4QHU3_DROSI	
N_244._tr|A0A0J9RWF8|A0A0J9RWF8_DROSI	GO:0008289	GO:0006869	GO:0042157	GO:0005576
N_245._tr|A0A0J9R087|A0A0J9R087_DROSI	GO:0005515	GO:0005515
N_246._tr|A0A0J9R6F2|A0A0J9R6F2_DROSI	GO:0006508
N_247._tr|A0A0J9QU74|A0A0J9QU74_DROSI	
N_248._tr|Q86BZ8|Q86BZ8_DROSI	GO:0003677	GO:0003700	GO:0006355
N_249._tr|B4Q7U1|B4Q7U1_DROSI	GO:0003677	GO:0006355
N_250._tr|B4QUA8|B4QUA8_DROSI	GO:0004252	GO:0006508
N_251._tr|A0A0J9S0W9|A0A0J9S0W9_DROSI	GO:0005515	GO:0004672	GO:0005524	GO:0006468	GO:0005515	GO:0003993	GO:0046872	GO:0004672	GO:0006468
N_252._tr|B4Q9H5|B4Q9H5_DROSI	GO:0008270
N_253._tr|A0A0J9S0M4|A0A0J9S0M4_DROSI	GO:0016491
N_254._tr|A9YIQ2|A9YIQ2_DROSI	GO:0004930	GO:0007186	GO:0016021
N_255._tr|B4QDP1|B4QDP1_DROSI	GO:0016627	GO:0016627	GO:0016627	GO:0050660
N_256._tr|B4QRF1|B4QRF1_DROSI	GO:0005509	GO:0005509	GO:0007156	GO:0016020
N_257._tr|H6V071|H6V071_DROSI	
N_258._tr|B4Q4D0|B4Q4D0_DROSI	
N_259._tr|B4Q6R2|B4Q6R2_DROSI	GO:0005524	GO:0005524	GO:0140359	GO:0055085	GO:0016021	GO:0005525	GO:0005524	GO:0016887
N_260._tr|A0A0J9S0N9|A0A0J9S0N9_DROSI	
N_261._tr|A0ZWV1|A0ZWV1_DROSI	GO:0005615	GO:0004866	GO:0005576	GO:0004866
N_262._tr|Q6V6B0|Q6V6B0_DROSI	GO:0016020
N_263._tr|A0A0J9R970|A0A0J9R970_DROSI	
N_264._tr|F6JNJ8|F6JNJ8_DROSI	GO:0030170	GO:0009058
N_265._tr|B4Q419|B4Q419_DROSI	GO:0005524	GO:0005524	GO:0016887
N_266._tr|A0A0J9QX61|A0A0J9QX61_DROSI	GO:0005634
N_267._tr|A0A3Q7YLV0|A0A3Q7YLV0_DROSI	GO:0005524	GO:0016887
N_268._tr|A0A0J9TEX6|A0A0J9TEX6_DROSI	
N_269._tr|A0A0J9U692|A0A0J9U692_DROSI	GO:0005525	GO:0003924	GO:0005525	GO:0005525	GO:0003924	GO:0005525	GO:0003924	GO:0019001	GO:0031683	GO:0007186
N_270._tr|D7F9K0|D7F9K0_DROSI	GO:0004984	GO:0005549	GO:0007608	GO:0016020
N_271._tr|A0A0J9U4H9|A0A0J9U4H9_DROSI	GO:0004721
N_272._tr|B4Q4C5|B4Q4C5_DROSI	GO:0008963	GO:0016021
N_273._tr|A0A0J9RB45|A0A0J9RB45_DROSI	GO:0004497	GO:0005506	GO:0016705	GO:0020037
N_274._tr|B4R4R1|B4R4R1_DROSI	
N_275._tr|A0A0J9UFB3|A0A0J9UFB3_DROSI	
N_276._tr|B4QYQ8|B4QYQ8_DROSI	GO:0004930	GO:0007186	GO:0016021
N_277._tr|B4Q822|B4Q822_DROSI	GO:0004252	GO:0006508
N_278._tr|B4R660|B4R660_DROSI	GO:0008270	GO:0030163
N_279._tr|A0A0J9RXU4|A0A0J9RXU4_DROSI	GO:0008138	GO:0016311
N_280._tr|B4QJP1|B4QJP1_DROSI	
N_281._tr|Q9NGG4|Q9NGG4_DROSI	
N_282._tr|A0A0J9R2L8|A0A0J9R2L8_DROSI	GO:0003676	GO:0005524	GO:0034511	GO:0006364	GO:0005730	GO:0003677	GO:0005524	GO:0016787
N_283._tr|A0A0J9RH61|A0A0J9RH61_DROSI	
N_284._tr|A0A0J9R1J9|A0A0J9R1J9_DROSI	
N_285._tr|B4QLX2|B4QLX2_DROSI	GO:0003677	GO:0005515
N_286._tr|B4R341|B4R341_DROSI	GO:0004725	GO:0006470
N_287._tr|A0A0J9QZX1|A0A0J9QZX1_DROSI	GO:0005515
N_288._tr|G3LSV6|G3LSV6_DROSI	GO:0005198	GO:0019028	GO:0019031
N_289._tr|B4NRX0|B4NRX0_DROSI	GO:0005201	GO:0005581
N_290._tr|A0A0J9QVX1|A0A0J9QVX1_DROSI	
N_291._tr|B4QGJ7|B4QGJ7_DROSI	GO:0003824
N_292._tr|A0A0J9U5D4|A0A0J9U5D4_DROSI	GO:0005515
N_293._tr|A0A0J9QYI1|A0A0J9QYI1_DROSI	
N_294._tr|B4QBT5|B4QBT5_DROSI	
N_295._tr|B4R1R6|B4R1R6_DROSI	GO:0005509	GO:0005509	GO:0005509	GO:0005509
N_296._tr|Q2XYD2|Q2XYD2_DROSI	GO:0003677
N_297._tr|B4QVJ1|B4QVJ1_DROSI	
N_298._tr|A0A0J9RTM5|A0A0J9RTM5_DROSI	GO:0015276	GO:0016020
N_299._tr|Q58SI5|Q58SI5_DROSI	GO:0016844	GO:0009058	GO:0005515
N_300._tr|B4Q4J3|B4Q4J3_DROSI	
N_301._tr|B4R1S4|B4R1S4_DROSI	GO:0005509
N_302._tr|A0A0J9TWD2|A0A0J9TWD2_DROSI	
N_303._tr|B4Q719|B4Q719_DROSI	GO:0004222	GO:0006508	GO:0006508
N_304._tr|A0A0J9U4Y3|A0A0J9U4Y3_DROSI	GO:0005216	GO:0006811	GO:0055085	GO:0016020	GO:0005515
N_305._tr|A0A0J9RDZ5|A0A0J9RDZ5_DROSI	
N_306._tr|A0A0J9S086|A0A0J9S086_DROSI	
N_307._tr|B4R1M7|B4R1M7_DROSI	GO:0004656	GO:0005783
N_308._tr|B4QB18|B4QB18_DROSI	
N_309._tr|A0A0J9RUN7|A0A0J9RUN7_DROSI	GO:0051087
N_310._tr|B4QKK3|B4QKK3_DROSI	GO:0006952
N_311._tr|B4QNP8|B4QNP8_DROSI	GO:0016787
N_312._tr|B4NSQ0|B4NSQ0_DROSI	GO:0004499	GO:0050660	GO:0050661	GO:0016491	GO:0016491	GO:0016491
N_313._tr|Q9MGK6|Q9MGK6_DROSI	GO:0008137	GO:0042773
N_314._tr|A0A0J9RSV4|A0A0J9RSV4_DROSI	GO:0035091	GO:0005515	GO:0005515
N_315._tr|B4QVL0|B4QVL0_DROSI	
N_316._tr|B4QIH3|B4QIH3_DROSI	GO:0003796
N_317._tr|B4Q390|B4Q390_DROSI	GO:0016853	GO:0005975
N_318._tr|B4QDR9|B4QDR9_DROSI	
N_319._tr|A0A0J9R5D0|A0A0J9R5D0_DROSI	GO:0051287	GO:0016616	GO:0051287
N_320._tr|B4QPZ9|B4QPZ9_DROSI	
N_321._tr|A0A0J9RC78|A0A0J9RC78_DROSI	GO:0019781	GO:0045116
N_322._tr|A0A3Q7YHU7|A0A3Q7YHU7_DROSI	
N_323._tr|A0A0J9QU54|A0A0J9QU54_DROSI	GO:0005230	GO:0006811	GO:0016021
N_324._tr|B4QPX1|B4QPX1_DROSI	
N_325._tr|A0A0J9U6G0|A0A0J9U6G0_DROSI	GO:0004984	GO:0005549	GO:0007608	GO:0016020
N_326._tr|B4QFS4|B4QFS4_DROSI	GO:0005975
N_327._tr|A0A0J9RH44|A0A0J9RH44_DROSI	GO:0003677
N_328._tr|B4QSR7|B4QSR7_DROSI	
N_329._tr|B4F565|B4F565_DROSI	
N_330._tr|B4QLU8|B4QLU8_DROSI	
