N_1._tr|B4JFW9|B4JFW9_DROGR	GO:0005509
N_57._tr|B4JM90|B4JM90_DROGR	GO:0003854	GO:0016616	GO:0006694
N_58._tr|B4JML5|B4JML5_DROGR	GO:0005515	GO:0005515	GO:0005515	GO:0005515	GO:0005515
N_59._tr|B4JB93|B4JB93_DROGR	GO:0006813	GO:0006814	GO:0005890
N_60._tr|B4JSC1|B4JSC1_DROGR	
N_61._tr|B4JP05|B4JP05_DROGR	GO:0003677	GO:0003678	GO:0005524	GO:0003676	GO:0004386	GO:0005524	GO:0016818	GO:0006139	GO:0003677	GO:0005524	GO:0016787
N_62._tr|B4J997|B4J997_DROGR	GO:0022857	GO:0055085
N_63._tr|B4JF04|B4JF04_DROGR	GO:0008061	GO:0005576
N_64._tr|B4JWM9|B4JWM9_DROGR	GO:0005515	GO:0016020	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_65._tr|B4JLB3|B4JLB3_DROGR	GO:0005634
N_66._tr|B4J836|B4J836_DROGR	GO:0016021
N_67._tr|B4JGH1|B4JGH1_DROGR	GO:0006629
N_68._tr|B4JNH9|B4JNH9_DROGR	GO:0016787
N_69._tr|B4J4I4|B4J4I4_DROGR	
N_70._tr|B4JYG9|B4JYG9_DROGR	GO:0005549
N_71._tr|B4JJ24|B4JJ24_DROGR	
N_72._sp|O44219|ZW10_DROGR	GO:0000278	GO:0000775	GO:0005634
N_73._tr|B4JUR2|B4JUR2_DROGR	GO:0005524	GO:0140662
N_74._tr|B4JGP0|B4JGP0_DROGR	GO:0005515	GO:0005515	GO:0004222	GO:0006508	GO:0005515
N_75._tr|B4J5L6|B4J5L6_DROGR	
N_76._tr|B4JB89|B4JB89_DROGR	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_77._tr|B4J474|B4J474_DROGR	
N_78._tr|B4JAM7|B4JAM7_DROGR	GO:0008270
N_79._tr|B4J4H8|B4J4H8_DROGR	GO:0008194
N_80._tr|B4K2R1|B4K2R1_DROGR	GO:0008236	GO:0006508
N_81._tr|B4J9D3|B4J9D3_DROGR	GO:0016787	GO:0003824
N_82._tr|B4IWP3|B4IWP3_DROGR	
N_83._tr|B4JYG2|B4JYG2_DROGR	GO:0004930	GO:0007186	GO:0016021	GO:0008528
N_84._tr|B4J7V1|B4J7V1_DROGR	GO:0005509	GO:0005509	GO:0016491	GO:0005509	GO:0005509	GO:0005509
N_85._tr|B4K211|B4K211_DROGR	GO:0008270
N_86._tr|B4JB33|B4JB33_DROGR	GO:0005634
N_87._tr|B4J3A1|B4J3A1_DROGR	GO:0005096
N_88._tr|B4JMN5|B4JMN5_DROGR	GO:0017025
N_89._tr|B4J1T5|B4J1T5_DROGR	GO:0005515	GO:0005515	GO:0005515	GO:0005515	GO:0005515
N_90._tr|B4J4W7|B4J4W7_DROGR	
N_91._tr|B4JMV8|B4JMV8_DROGR	GO:0016788	GO:0009058
N_92._tr|B4J8P6|B4J8P6_DROGR	GO:0005509	GO:0007156	GO:0005509	GO:0007156	GO:0016020
N_93._tr|B4JA58|B4JA58_DROGR	
N_94._tr|B4JH52|B4JH52_DROGR	GO:0022857	GO:0055085	GO:0016021	GO:0022857	GO:0055085
N_95._tr|B4J0U4|B4J0U4_DROGR	
N_96._tr|B4JYM0|B4JYM0_DROGR	
N_97._tr|B4JN88|B4JN88_DROGR	GO:0005515
N_98._tr|B4IX27|B4IX27_DROGR	
N_99._tr|B4JC36|B4JC36_DROGR	GO:0004930	GO:0007186	GO:0016021
N_100._tr|B4JS10|B4JS10_DROGR	GO:0004252	GO:0006508
N_101._tr|B4K0I3|B4K0I3_DROGR	GO:0005515
N_102._tr|B4JA62|B4JA62_DROGR	GO:0008168	GO:0008168
N_103._tr|B4JQ03|B4JQ03_DROGR	GO:0005272	GO:0006814	GO:0016020
N_104._tr|B4J7X6|B4J7X6_DROGR	
N_105._tr|B4JQ04|B4JQ04_DROGR	GO:0004559	GO:0006013	GO:0004559	GO:0006013	GO:0004559	GO:0006013
N_106._tr|B4JBA6|B4JBA6_DROGR	GO:0004252	GO:0006508
N_107._tr|B4JH56|B4JH56_DROGR	GO:0004861	GO:0017069	GO:0000122	GO:0005634	GO:0005737
N_108._tr|B4K3B2|B4K3B2_DROGR	GO:0046983
N_109._tr|B4JVB3|B4JVB3_DROGR	GO:0005525	GO:0005525	GO:0003924	GO:0005525	GO:0005525
N_110._tr|B4JXY6|B4JXY6_DROGR	GO:0004672	GO:0005524	GO:0006468	GO:0004675	GO:0016020	GO:0004672	GO:0006468
N_111._tr|B4JRJ7|B4JRJ7_DROGR	GO:0046855
N_112._tr|B4JUH7|B4JUH7_DROGR	
N_113._tr|B4J9P7|B4J9P7_DROGR	GO:0140664	GO:0005524	GO:0016887
N_114._tr|B4JGM2|B4JGM2_DROGR	
N_115._tr|B4JJY0|B4JJY0_DROGR	
N_116._tr|B4JLK8|B4JLK8_DROGR	GO:0005515
N_117._tr|B4J1Z3|B4J1Z3_DROGR	GO:0000105
N_118._tr|B4J485|B4J485_DROGR	GO:0008168	GO:0008168
N_119._tr|B4IX46|B4IX46_DROGR	
N_120._tr|B4JCC3|B4JCC3_DROGR	GO:0005216	GO:0006811	GO:0055085	GO:0016020
N_121._tr|B4JED2|B4JED2_DROGR	GO:0004252	GO:0006508
N_122._tr|B3LF17|B3LF17_DROGR	GO:0004129	GO:0005507	GO:0016020	GO:0022900	GO:0016021
N_123._tr|B4J158|B4J158_DROGR	GO:0005515	GO:0005515	GO:0003723	GO:0006355
N_124._tr|B4IZZ0|B4IZZ0_DROGR	GO:0022857	GO:0055085	GO:0016021	GO:0022857	GO:0055085
N_125._tr|B4IY55|B4IY55_DROGR	GO:0008081	GO:0006629	GO:2001070
N_126._tr|B4JHU7|B4JHU7_DROGR	GO:0017056	GO:0005643
N_127._tr|B4JXL1|B4JXL1_DROGR	GO:0046872
N_128._tr|B4J334|B4J334_DROGR	GO:0022857	GO:0006811	GO:0016020	GO:0055085	GO:0016020
N_129._tr|B4IZG9|B4IZG9_DROGR	
N_130._tr|B4J4K2|B4J4K2_DROGR	
N_131._tr|B4JC57|B4JC57_DROGR	GO:0004497	GO:0005506	GO:0016705	GO:0020037
N_132._tr|B4JPA9|B4JPA9_DROGR	
N_133._tr|B4JWU6|B4JWU6_DROGR	
N_134._tr|B4JTQ0|B4JTQ0_DROGR	GO:0016491
N_135._tr|B4J2J2|B4J2J2_DROGR	GO:0006351
N_136._tr|B4JJT4|B4JJT4_DROGR	GO:0050909	GO:0016021
N_137._tr|B4J6V4|B4J6V4_DROGR	
N_138._tr|B4JJ54|B4JJ54_DROGR	GO:0008080
N_139._tr|B4JT06|B4JT06_DROGR	GO:0004930	GO:0007186	GO:0016021
N_140._tr|B4JE18|B4JE18_DROGR	
N_141._tr|B4JUH2|B4JUH2_DROGR	GO:0003824
N_142._tr|B4JIM1|B4JIM1_DROGR	GO:0004375	GO:0006546	GO:0016829	GO:0006520
N_143._tr|B4JPK5|B4JPK5_DROGR	
N_144._tr|B4J631|B4J631_DROGR	GO:0004386
N_145._tr|B4IX88|B4IX88_DROGR	GO:0005515	GO:0005515	GO:0005515	GO:0005515	GO:0005515	GO:0005515	GO:0005515	GO:0005515	GO:0005515
N_146._tr|B4J6V9|B4J6V9_DROGR	GO:0051603	GO:0005839
N_147._sp|B4J3A3|MAEL_DROGR	GO:0060964
N_148._tr|B4JY17|B4JY17_DROGR	
N_149._tr|B4JEF4|B4JEF4_DROGR	GO:0005102	GO:0030168	GO:0051258	GO:0005577
N_150._tr|B4JAQ7|B4JAQ7_DROGR	
N_151._tr|B4JKK3|B4JKK3_DROGR	
N_152._tr|B4K1T8|B4K1T8_DROGR	GO:0016787	GO:0016787	GO:0009166
N_153._tr|B4JSV3|B4JSV3_DROGR	GO:0034464
N_154._tr|B4JJC8|B4JJC8_DROGR	GO:0016021
N_155._tr|B4J6R5|B4J6R5_DROGR	GO:0008380	GO:0035145
N_156._tr|B4JI18|B4JI18_DROGR	
N_157._tr|B4JPB0|B4JPB0_DROGR	GO:0016830	GO:0030170	GO:0019752	GO:0016829	GO:0006520
N_158._tr|B4J3G6|B4J3G6_DROGR	
N_159._tr|B4JZV6|B4JZV6_DROGR	
N_160._tr|B4JEW5|B4JEW5_DROGR	GO:0004252	GO:0006508
N_161._tr|B4JBL9|B4JBL9_DROGR	GO:0005549
N_162._tr|B4JDU1|B4JDU1_DROGR	
N_163._tr|B4IXA0|B4IXA0_DROGR	
N_164._tr|B4JD56|B4JD56_DROGR	GO:0030246
N_165._tr|B4JIY5|B4JIY5_DROGR	GO:0005515	GO:0005515	GO:0005515
N_166._tr|B4IZM1|B4IZM1_DROGR	GO:0004984	GO:0007186	GO:0016021	GO:0004930	GO:0007186	GO:0016021
N_167._tr|B4JWT2|B4JWT2_DROGR	GO:0016491	GO:0016972	GO:0016209	GO:0016491
N_168._tr|B4JSB6|B4JSB6_DROGR	GO:0005524
N_169._tr|B4JA61|B4JA61_DROGR	GO:0005634
N_170._tr|B4JJ65|B4JJ65_DROGR	
N_171._tr|B4JTF2|B4JTF2_DROGR	
N_172._tr|B4IZF6|B4IZF6_DROGR	GO:0003896	GO:0006269
N_173._tr|B4J7M4|B4J7M4_DROGR	GO:0003735	GO:0006412	GO:0005840
N_174._tr|B4JAH8|B4JAH8_DROGR	GO:0008061	GO:0005576
N_175._tr|B4J7N2|B4J7N2_DROGR	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_176._tr|B4JRL7|B4JRL7_DROGR	
N_177._tr|B4JIK6|B4JIK6_DROGR	
N_178._tr|B4JU39|B4JU39_DROGR	GO:0043565
N_179._tr|B4J6U9|B4J6U9_DROGR	
N_180._tr|B4JWY0|B4JWY0_DROGR	GO:0004571	GO:0005509	GO:0016020
N_181._tr|B4IX22|B4IX22_DROGR	GO:0055085	GO:0016020	GO:0005515	GO:0022857	GO:0055085
N_182._tr|B4K3I0|B4K3I0_DROGR	GO:0016757	GO:0016020
N_183._tr|B4IX73|B4IX73_DROGR	
N_184._tr|B4J4B7|B4J4B7_DROGR	
N_185._tr|B4K3E1|B4K3E1_DROGR	GO:0003677	GO:0071821
N_186._tr|B4JDL1|B4JDL1_DROGR	
N_187._tr|B4J504|B4J504_DROGR	
N_188._tr|B4JQQ1|B4JQQ1_DROGR	GO:0050909	GO:0016021
N_189._tr|B4JRP9|B4JRP9_DROGR	GO:0003854	GO:0016616	GO:0006694	GO:0016491
N_190._tr|B4JLB8|B4JLB8_DROGR	GO:0003997	GO:0006635	GO:0005777	GO:0016627
N_191._tr|B4J675|B4J675_DROGR	GO:0003735	GO:0006412	GO:0005840
N_192._tr|B4JHW1|B4JHW1_DROGR	GO:0003723
N_193._tr|B4JVV4|B4JVV4_DROGR	GO:0004252	GO:0006508
N_194._tr|B4J4A9|B4J4A9_DROGR	GO:0003924	GO:0005525	GO:0005525	GO:0005524	GO:0016887	GO:0043934	GO:0005525	GO:0005525	GO:0003924	GO:0005525	GO:0005525	GO:0016020
N_195._tr|B4K1E4|B4K1E4_DROGR	
N_196._tr|B4JIX3|B4JIX3_DROGR	
N_197._tr|B4JWN8|B4JWN8_DROGR	
N_198._tr|B4J0A5|B4J0A5_DROGR	
N_199._tr|B4JV42|B4JV42_DROGR	GO:0009922	GO:0016021
N_200._tr|B4J653|B4J653_DROGR	GO:0005525	GO:0003924	GO:0005525	GO:0003924	GO:0019001	GO:0031683	GO:0007186
N_201._tr|B4IZW4|B4IZW4_DROGR	GO:0003676
N_202._tr|B4JL80|B4JL80_DROGR	
N_203._tr|B4JQL2|B4JQL2_DROGR	GO:0016787
N_204._tr|B4JDJ7|B4JDJ7_DROGR	
N_205._tr|B4JMR6|B4JMR6_DROGR	GO:0003676	GO:0005524	GO:0003677	GO:0005524	GO:0016787
N_206._tr|B4JP82|B4JP82_DROGR	GO:0008146	GO:0016021
N_207._tr|B4J8N5|B4J8N5_DROGR	
N_208._tr|B4JBK2|B4JBK2_DROGR	
N_209._tr|B4JFI4|B4JFI4_DROGR	
N_210._tr|B4J4H1|B4J4H1_DROGR	GO:0005515
N_211._tr|B4J205|B4J205_DROGR	GO:0008289
N_212._tr|B4JGY6|B4JGY6_DROGR	GO:0003677	GO:0008270	GO:0005634
N_213._sp|P24510|CH16_DROGR	GO:0007275	GO:0042600
N_214._tr|B4JK12|B4JK12_DROGR	GO:0022857	GO:0055085
N_215._tr|B4JKX8|B4JKX8_DROGR	
N_216._tr|B4JDI0|B4JDI0_DROGR	GO:0022857	GO:0055085
N_217._tr|B4JEQ3|B4JEQ3_DROGR	GO:0005515	GO:0018024	GO:0005634
N_218._tr|B4J9H2|B4J9H2_DROGR	
N_219._tr|B4J1M4|B4J1M4_DROGR	GO:0017128	GO:0017121
N_220._tr|B4J6F6|B4J6F6_DROGR	GO:0004674	GO:0005524	GO:0006468	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_221._tr|B4JI55|B4JI55_DROGR	GO:0019843	GO:0006364
N_222._tr|B4JGC5|B4JGC5_DROGR	GO:0046933	GO:0015986
N_223._tr|B4JSE6|B4JSE6_DROGR	GO:0015299	GO:0006812	GO:0055085	GO:0016021
N_224._tr|B4K078|B4K078_DROGR	GO:0046873	GO:0030001	GO:0055085	GO:0016020
N_225._tr|B4JMW9|B4JMW9_DROGR	
N_226._tr|B4JBY0|B4JBY0_DROGR	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_227._tr|B4J000|B4J000_DROGR	GO:0004252	GO:0006508
N_228._tr|B4JCV0|B4JCV0_DROGR	
N_229._tr|B4J2S6|B4J2S6_DROGR	GO:0006281	GO:0003684	GO:0006281
N_230._tr|B4JF46|B4JF46_DROGR	GO:0009922	GO:0016021
N_231._tr|B4J817|B4J817_DROGR	
N_232._tr|B4JWM1|B4JWM1_DROGR	
N_233._tr|B4JSM3|B4JSM3_DROGR	GO:0008270	GO:0004842	GO:0016567
N_234._tr|B4IX32|B4IX32_DROGR	
N_235._tr|B4JYY3|B4JYY3_DROGR	GO:0004190	GO:0016021
N_236._tr|B4JX85|B4JX85_DROGR	GO:0006355	GO:0046983	GO:0005515
N_237._tr|B4JVZ5|B4JVZ5_DROGR	GO:0008146
N_238._tr|B4JJR0|B4JJR0_DROGR	GO:0004222	GO:0006508
N_239._tr|B4K1W9|B4K1W9_DROGR	GO:0003676	GO:0005524	GO:0004386	GO:0003676
N_240._tr|B4JN61|B4JN61_DROGR	GO:0008201	GO:0046914
N_241._tr|B4JFE7|B4JFE7_DROGR	GO:0008168
N_242._tr|B4JGZ8|B4JGZ8_DROGR	GO:0015078	GO:1902600	GO:0033177
N_243._tr|B4JPR1|B4JPR1_DROGR	
N_244._tr|B4JD06|B4JD06_DROGR	
N_245._tr|B4IXT2|B4IXT2_DROGR	GO:0004970	GO:0016020	GO:0015276	GO:0016020
N_246._tr|B4IZA4|B4IZA4_DROGR	GO:0003755	GO:0000413
N_247._tr|B4K2B3|B4K2B3_DROGR	GO:0008527	GO:0050912	GO:0016021
N_248._tr|B4JCF1|B4JCF1_DROGR	GO:0016787
N_249._tr|B4IYC4|B4IYC4_DROGR	
N_250._tr|B4JCX3|B4JCX3_DROGR	GO:0016830	GO:0030170	GO:0019752	GO:0016829	GO:0006520
N_251._tr|B4JNI3|B4JNI3_DROGR	GO:0006355	GO:0070176
N_252._tr|B4JZX7|B4JZX7_DROGR	GO:0008270	GO:0005634
N_253._tr|B4JCK2|B4JCK2_DROGR	
N_254._tr|B4J2M7|B4J2M7_DROGR	
N_255._tr|B4JMV0|B4JMV0_DROGR	
N_256._tr|B4K1X3|B4K1X3_DROGR	GO:0004984	GO:0005549	GO:0007608	GO:0016020
N_257._tr|B4IXB1|B4IXB1_DROGR	GO:0022857	GO:0055085
N_258._tr|B4JH82|B4JH82_DROGR	GO:0003677	GO:0003899	GO:0006351	GO:0045892	GO:0005634
N_259._tr|B4J0Q8|B4J0Q8_DROGR	
N_260._tr|B4JP50|B4JP50_DROGR	GO:0016021
N_261._tr|B4JV12|B4JV12_DROGR	
N_262._tr|B4IXK6|B4IXK6_DROGR	
N_263._tr|B4K3G0|B4K3G0_DROGR	GO:0008234	GO:0006508
N_264._tr|B4JPI4|B4JPI4_DROGR	
N_265._tr|B4JJC7|B4JJC7_DROGR	GO:0004198	GO:0006508	GO:0005509
N_266._tr|B4JND5|B4JND5_DROGR	GO:0008234	GO:0006508
N_267._tr|B4JKL6|B4JKL6_DROGR	
N_268._tr|B4JY25|B4JY25_DROGR	GO:0003677
N_269._tr|B4JN90|B4JN90_DROGR	GO:0003682
N_270._tr|B4JJN6|B4JJN6_DROGR	
N_271._tr|B4JZJ6|B4JZJ6_DROGR	GO:0003677	GO:0006334	GO:0000786
N_272._tr|B4J0P2|B4J0P2_DROGR	GO:0008061	GO:0005576
N_273._tr|B4JYA9|B4JYA9_DROGR	GO:0003937	GO:0004643	GO:0006164
N_274._tr|B4JJL4|B4JJL4_DROGR	GO:0005524
N_275._tr|B4J159|B4J159_DROGR	GO:0004842
N_276._tr|B4J9R9|B4J9R9_DROGR	GO:0005515	GO:0003676	GO:0005515	GO:0005515	GO:0005515
N_277._tr|B4JHP9|B4JHP9_DROGR	
N_278._tr|B4JPK7|B4JPK7_DROGR	GO:0003700	GO:0006355	GO:0003700	GO:0006355
N_279._tr|B4JD35|B4JD35_DROGR	GO:0005515
N_280._tr|B4IYW0|B4IYW0_DROGR	GO:0000462	GO:0005730	GO:0030686	GO:0030688
N_281._tr|B4J083|B4J083_DROGR	GO:0008299
N_282._tr|B4IX55|B4IX55_DROGR	
N_283._tr|B4JYK3|B4JYK3_DROGR	
N_284._tr|B4JMA6|B4JMA6_DROGR	GO:0016209	GO:0016491
N_285._tr|B4JFP9|B4JFP9_DROGR	
N_286._tr|B4JQX5|B4JQX5_DROGR	
N_287._tr|B4JDJ9|B4JDJ9_DROGR	GO:0016747
N_288._tr|B4JKQ1|B4JKQ1_DROGR	GO:0019888	GO:0030289
N_289._tr|B4JDR8|B4JDR8_DROGR	
N_290._tr|B4JG62|B4JG62_DROGR	GO:0008194
N_291._tr|B4IX77|B4IX77_DROGR	GO:0005515
N_292._tr|B4J7X8|B4J7X8_DROGR	GO:0007165
N_293._tr|B4IY42|B4IY42_DROGR	GO:0000387
N_294._tr|B4JEZ0|B4JEZ0_DROGR	GO:0004471	GO:0051287
N_295._tr|B4JEB7|B4JEB7_DROGR	
N_296._tr|B4JTM2|B4JTM2_DROGR	
N_297._tr|B4JSE9|B4JSE9_DROGR	GO:0005515
N_298._tr|B4JN55|B4JN55_DROGR	
N_299._tr|B4JLY3|B4JLY3_DROGR	
N_300._tr|B4JAR6|B4JAR6_DROGR	
N_301._tr|B4J1W1|B4J1W1_DROGR	
N_302._tr|B4JXR3|B4JXR3_DROGR	GO:0001700	GO:0007259
N_303._tr|B4IX82|B4IX82_DROGR	GO:0005247	GO:0006821	GO:0055085	GO:0016020
N_304._tr|B4IZF7|B4IZF7_DROGR	
N_305._tr|B4JLT3|B4JLT3_DROGR	GO:0003677
N_306._tr|B4IZG2|B4IZG2_DROGR	GO:0008417	GO:0006486	GO:0016020
N_307._tr|B4JBV0|B4JBV0_DROGR	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_308._tr|B4JED1|B4JED1_DROGR	GO:0005515
N_309._tr|B4IZ47|B4IZ47_DROGR	GO:0008061	GO:0005576
N_310._tr|B4JT72|B4JT72_DROGR	
N_311._tr|B4JJZ5|B4JJZ5_DROGR	GO:0022857	GO:0055085	GO:0016021	GO:0022857	GO:0055085
N_312._tr|B4JFH4|B4JFH4_DROGR	GO:0008270	GO:0005634
N_313._tr|B4J3S1|B4J3S1_DROGR	GO:0008270	GO:0006281
N_314._tr|B4J3Z7|B4J3Z7_DROGR	
N_315._tr|B4JB87|B4JB87_DROGR	GO:0006464
N_316._tr|B4JPQ8|B4JPQ8_DROGR	
N_317._tr|B4IY94|B4IY94_DROGR	GO:0004252	GO:0006508
N_318._tr|B4JAY6|B4JAY6_DROGR	GO:0006511	GO:0019773	GO:0051603	GO:0005839
N_319._tr|B4JTK6|B4JTK6_DROGR	GO:0003677
N_320._tr|B4K213|B4K213_DROGR	
N_321._tr|B4JDT9|B4JDT9_DROGR	GO:0005096
N_322._tr|B4JXC1|B4JXC1_DROGR	
N_323._tr|B4J994|B4J994_DROGR	
N_324._tr|B4J4C1|B4J4C1_DROGR	GO:0016021
N_325._tr|B4JMB4|B4JMB4_DROGR	GO:0003677	GO:0005524	GO:0032508	GO:0005524
N_326._tr|B4JBU0|B4JBU0_DROGR	
N_327._tr|B4J805|B4J805_DROGR	
N_328._tr|B4J0H7|B4J0H7_DROGR	GO:0004930	GO:0007186	GO:0016021	GO:0008528
N_329._tr|B4JZ98|B4JZ98_DROGR	
N_330._tr|B4JMJ6|B4JMJ6_DROGR	GO:0004843	GO:0016579
N_331._tr|B4JBT2|B4JBT2_DROGR	
N_332._tr|B4JQQ8|B4JQQ8_DROGR	GO:0006352	GO:0005669
N_333._tr|B4J6H8|B4J6H8_DROGR	GO:0004497	GO:0005506	GO:0016705	GO:0020037
N_334._tr|B4JVE0|B4JVE0_DROGR	GO:0008380	GO:0005681
N_335._tr|B4JI72|B4JI72_DROGR	GO:0006364	GO:0032040	GO:0005515
N_336._tr|B4IYG2|B4IYG2_DROGR	GO:0005576
N_337._tr|B4JUC1|B4JUC1_DROGR	GO:0005515	GO:0003924	GO:0005525	GO:0005515	GO:0004672	GO:0005524	GO:0006468	GO:0005515	GO:0005515	GO:0004672	GO:0006468	GO:0005515	GO:0005515
N_338._tr|B4JIY7|B4JIY7_DROGR	GO:0016830	GO:0030170	GO:0019752
N_339._tr|B4JDE2|B4JDE2_DROGR	GO:0008527	GO:0050912	GO:0016021	GO:0050909	GO:0016021
N_340._tr|B4JR23|B4JR23_DROGR	
N_341._tr|B4JZ70|B4JZ70_DROGR	GO:0005515	GO:0005515	GO:0005515
N_342._tr|B4JAB3|B4JAB3_DROGR	GO:0003735	GO:0006412	GO:0005840
N_343._tr|B4IWX0|B4IWX0_DROGR	GO:0007165	GO:0005515	GO:0007165	GO:0005515
N_344._tr|B4JTM5|B4JTM5_DROGR	GO:0046961	GO:1902600	GO:0033179
N_345._tr|B4IY43|B4IY43_DROGR	
N_346._tr|B4JRI7|B4JRI7_DROGR	GO:0005515	GO:0005515	GO:0005515	GO:0005515	GO:0005515	GO:0005515	GO:0005515
N_347._tr|B4IX67|B4IX67_DROGR	GO:0004615	GO:0009298
N_348._tr|B4J0S4|B4J0S4_DROGR	
N_349._tr|B4JNI0|B4JNI0_DROGR	
N_350._tr|B4JUB8|B4JUB8_DROGR	
N_351._tr|B4JF33|B4JF33_DROGR	
N_352._tr|B4JXN3|B4JXN3_DROGR	GO:0003677	GO:0003700	GO:0006355
N_353._tr|B4J762|B4J762_DROGR	GO:0003735	GO:0006412	GO:0005840
N_354._tr|B4K2S5|B4K2S5_DROGR	
N_355._tr|B4J3X6|B4J3X6_DROGR	GO:0016021
N_356._tr|B4JJ43|B4JJ43_DROGR	
